name,longitude,latitude,prov,date,key
"Haplospiza unicolor Cabanis, 1851",-54.435284,-25.716682,gbif,4/27/2023,4811467992
"Haplospiza unicolor Cabanis, 1851",-49.275696,-26.48496,gbif,4/23/2023,4750532702
"Haplospiza unicolor Cabanis, 1851",-49.08423,-26.481392,gbif,5/21/2023,4121457077
"Haplospiza unicolor Cabanis, 1851",-49.08423,-26.481392,gbif,5/21/2023,4120940453
"Haplospiza unicolor Cabanis, 1851",-45.094585,-23.251009,gbif,5/3/2023,4732198152
"Haplospiza unicolor Cabanis, 1851",-46.29076,-23.772802,gbif,5/6/2023,4743935345
"Haplospiza unicolor Cabanis, 1851",-46.29076,-23.772802,gbif,5/6/2023,4819940257
"Haplospiza unicolor Cabanis, 1851",-42.99184,-22.452349,gbif,5/6/2023,4822500114
"Haplospiza unicolor Cabanis, 1851",-47.561188,-24.00366,gbif,5/10/2023,4622038736
"Haplospiza unicolor Cabanis, 1851",-47.33547,-24.01897,gbif,5/12/2023,4658319975
"Haplospiza unicolor Cabanis, 1851",-49.24803,-26.379005,gbif,5/13/2023,4743779028
"Haplospiza unicolor Cabanis, 1851",-48.41,-24.2701,gbif,5/13/2023,4760941128
"Haplospiza unicolor Cabanis, 1851",-54.325504,-25.693436,gbif,5/13/2023,4839646170
"Haplospiza unicolor Cabanis, 1851",-44.746155,-22.36607,gbif,5/13/2023,4743034583
"Haplospiza unicolor Cabanis, 1851",-44.90638,-22.805258,gbif,5/13/2023,4748951357
"Haplospiza unicolor Cabanis, 1851",-48.40946,-24.26784,gbif,5/13/2023,4654753423
"Haplospiza unicolor Cabanis, 1851",-46.67105,-21.314705,gbif,5/13/2023,4818683882
"Haplospiza unicolor Cabanis, 1851",-44.833633,-23.172249,gbif,5/13/2023,4722927617
"Haplospiza unicolor Cabanis, 1851",-44.833633,-23.172249,gbif,5/13/2023,4813167450
"Haplospiza unicolor Cabanis, 1851",-47.39214,-24.046385,gbif,5/13/2023,4750080342
